hist	tissue	timepoint	repl	mi	pi	mj	pj	pij	pi_hat	pj_hat	I	splitplot_by	connected	group_by	colcode
H3	Brain	10 months	av	K9me3	0.10718813	K27me1	0.09224808	0.002118425	5.85657808493328	4.39594242627825	-3.24824742808889	Brain	10 months	av	0.09224808
H3	Brain	10 months	av	K9me1	0.22283832	K27me1	0.09224808	0.0122522975	4.21924464456158	0.774988958144993	-1.1847496205617	Brain	10 months	av	0.09224808
H3	Brain	10 months	av	K9me2	0.1415062625	K27me1	0.09224808	0.03553222	0.464927936906266	0.171515109027292	2.52895677677183	Brain	10 months	av	0.09224808
H3	Brain	18 months	av	K9me3	0.021460865	K27me1	0.09258828	0.0002889	1.7332310631443	30.2293674081722	-3.95880121575698	Brain	18 months	av	0.09258828
H3	Brain	18 months	av	K9me1	0.27647749	K27me1	0.09258828	0.011330225	7.13023775062526	0.91776577375335	-1.87853150964463	Brain	18 months	av	0.09258828
H3	Brain	18 months	av	K9me2	0.169498995	K27me1	0.09258828	0.05762051	0.36268719450761	0.0676560584878961	3.70753291134679	Brain	18 months	av	0.09258828
H3	Brain	3 months	av	K9me3	0.175680375	K27me1	0.1153980525	0.00943336	3.49995778692913	1.57252520000368	-1.70543364244884	Brain	3 months	av	0.1153980525
H3	Brain	3 months	av	K9me1	0.253380625	K27me1	0.1153980525	0.0078902375	8.91189225927616	2.10595546660729	-2.93215586124061	Brain	3 months	av	0.1153980525
H3	Brain	3 months	av	K9me2	0.18104085	K27me1	0.1153980525	0.048449915	0.560079275087237	0.19470706934967	2.21593600094421	Brain	3 months	av	0.1153980525
H3	Brain	5 months	av	K9me3	0.1384621225	K27me1	0.0810815225	0.0042926575	4.70957209686199	1.68352484066554	-2.0704867688583	Brain	5 months	av	0.0810815225
H3	Brain	5 months	av	K9me1	0.2551324425	K27me1	0.0810815225	0.0063660975	10.8494329943202	1.27755563331005	-2.62906141075975	Brain	5 months	av	0.0810815225
H3	Brain	5 months	av	K9me2	0.1720710775	K27me1	0.0810815225	0.0401336975	0.615587193907253	0.0999195584807824	2.78856851175532	Brain	5 months	av	0.0810815225
H3	Brain	10 months	av	K9me3	0.10718813	K27me2	0.6687759575	0.103303005	0.0121707371289628	4.1003372439393	2.99765157952226	Brain	10 months	av	0.6687759575
H3	Brain	10 months	av	K9me1	0.22283832	K27me2	0.6687759575	0.1800956575	0.159671113013214	2.33502139417949	0.986618069476755	Brain	10 months	av	0.6687759575
H3	Brain	10 months	av	K9me2	0.1415062625	K27me2	0.6687759575	0.0046709875	12.5153549543486	110.757092299973	-7.23429573249543	Brain	10 months	av	0.6687759575
