hist	tissue	timepoint	repl	mi	pi	mj	pj	pij	pi_hat	pj_hat	I	splitplot_by	connected	group_by	colcode
H3	Brain	3 months	av	K27ac	0.0126674	K14ac	0.28471462	0.0001841875	1.20025727344257	445.466307945499	-6.28165754489387	Brain	3 months	av	0.28471462
H3	Brain	5 months	av	K27ac	0.0175125275	K14ac	0.272591165	0.0004496825	0.913515072847022	167.908821632161	-5.03296570049892	Brain	5 months	av	0.272591165
H3	Brain	10 months	av	K27ac	0.0248254875	K36me1	0.073599425	0.0206506225	0.00541761649090107	0.193515196043485	6.86049855915189	Brain	10 months	av	0.073599425
H3	Brain	18 months	av	K27ac	0.007303475	K36me1	0.061235195	0.00668991	0.000713531335681531	0.502946214426565	7.93255624791675	Brain	18 months	av	0.061235195
H3	Brain	3 months	av	K27ac	0.0126674	K36me1	0.11368262	0.008636345	0.00667093885124458	1.40049405907659	4.67316959794465	Brain	3 months	av	0.11368262
H3	Brain	5 months	av	K27ac	0.0175125275	K36me1	0.1094417025	0.01041083	0.0134141540762077	1.05959785246874	4.2535554034706	Brain	5 months	av	0.1094417025
H3	Brain	10 months	av	K27ac	0.0248254875	K36me2	0.737540085	0.0014227925	1.55581912975341	391.299001779751	-6.41147415665884	Brain	10 months	av	0.737540085
H3	Brain	18 months	av	K27ac	0.007303475	K36me2	0.779498685	0.00049787	0.452761139370609	1228.62921897124	-6.32126379205659	Brain	18 months	av	0.779498685
H3	Brain	3 months	av	K27ac	0.0126674	K36me2	0.6361976025	0.0015810825	0.244148864132908	258.633866665964	-4.14543627853011	Brain	3 months	av	0.6361976025
H3	Brain	5 months	av	K27ac	0.0175125275	K36me2	0.6876576125	0.00303029	0.267959634865911	158.130363099156	-3.74650084975222	Brain	5 months	av	0.6876576125
H3	Brain	10 months	av	K27ac	0.0248254875	K9me1	0.22283832	0.00029164	2.68723086419172	174.373933306852	-6.14971328020274	Brain	10 months	av	0.22283832
H3	Brain	3 months	av	K27ac	0.0126674	K9me1	0.253380625	0.0006535675	0.311874131433125	99.2364498638763	-3.43234978748168	Brain	3 months	av	0.253380625
H3	Brain	5 months	av	K27ac	0.0175125275	K9me1	0.2551324425	0.0001692125	2.40973586420772	391.27650963164	-6.84893163738826	Brain	5 months	av	0.2551324425
H3	Brain	10 months	av	K27ac	0.0248254875	K9me2	0.1415062625	0.0210439025	0.00519646779079695	0.830650641531319	5.44532213502989	Brain	10 months	av	0.1415062625
H3	Brain	18 months	av	K27ac	0.007303475	K9me2	0.169498995	0.00651907	0.00105814234290289	4.2687340187338	5.3999231144412	Brain	18 months	av	0.169498995
H3	Brain	3 months	av	K27ac	0.0126674	K9me2	0.18104085	0.00870254	0.00704704547080241	3.63118942350785	3.66558657266857	Brain	3 months	av	0.18104085
H3	Brain	5 months	av	K27ac	0.0175125275	K9me2	0.1720710775	0.011906825	0.00995840651866007	2.35586541871108	3.75243006690182	Brain	5 months	av	0.1720710775
H3	Heart	10 months	av	K27ac	0.013775715	K14ac	0.15926257	0.001519905	0.132123278673497	16.7598743052059	-0.794967732444664	Heart	10 months	av	0.15926257
H3	Heart	3 months	av	K27ac	0.009316455	K14ac	0.14996498	0.0003866	0.253160782654319	58.5682004225304	-2.69646140684728	Heart	3 months	av	0.14996498
H3	Heart	5 months	av	K27ac	0.0067058775	K14ac	0.165949935	0.00033975	0.150653547308735	81.4379434423718	-2.50706883306289	Heart	5 months	av	0.165949935
H3	Heart	10 months	av	K27ac	0.013775715	K36me1	0.1564846075	0.00857377	0.00990866314548323	2.73731072873758	3.60736988672247	Heart	10 months	av	0.1564846075
H3	Heart	18 months	av	K27ac	0.04222887	K36me1	0.105288025	0.03676934	0.00700802484058187	0.204852100862457	6.54616640017894	Heart	18 months	av	0.105288025
H3	Heart	3 months	av	K27ac	0.009316455	K36me1	0.2118703225	0.005605255	0.00782657937182107	7.86983245657842	2.78719295293691	Heart	3 months	av	0.2118703225
H3	Heart	5 months	av	K27ac	0.0067058775	K36me1	0.21168059	0.0036248075	0.00723052801823562	12.2320152691787	2.4253864969865	Heart	5 months	av	0.21168059
H3	Heart	10 months	av	K27ac	0.013775715	K36me2	0.21935837	0.0001684275	1.42567652989825	289.458387327091	-6.02265800576081	Heart	10 months	av	0.21935837
H3	Heart	18 months	av	K27ac	0.04222887	K36me2	0.228155855	0.00075049	3.02382548150975	72.1814617740113	-5.38570599630791	Heart	18 months	av	0.228155855
H3	Heart	3 months	av	K27ac	0.009316455	K36me2	0.12472195	9.0775e-05	1.08177460547543	172.849598347418	-5.23102468851379	Heart	3 months	av	0.12472195
H3	Heart	5 months	av	K27ac	0.0067058775	K36me2	0.1282592725	0.0003772375	0.12905172465939	43.7729269190222	-1.73147353076983	Heart	5 months	av	0.1282592725
H3	Heart	10 months	av	K27ac	0.013775715	K9me1	0.1066837	0.0005474725	0.372605043839197	20.9712209006741	-2.05591478048724	Heart	10 months	av	0.1066837
H3	Heart	18 months	av	K27ac	0.04222887	K9me1	0.078970625	0.000190065	10.1410795834478	34.17596189583	-5.84811698868907	Heart	18 months	av	0.078970625
H3	Heart	3 months	av	K27ac	0.009316455	K9me1	0.1575600375	0.00025113	0.39920549658416	99.6244287708503	-3.6831284376595	Heart	3 months	av	0.1575600375
H3	Heart	5 months	av	K27ac	0.0067058775	K9me1	0.1512975025	0.000141965	0.365326883275537	162.179765670268	-4.08174262907513	Heart	5 months	av	0.1512975025
H3	Heart	10 months	av	K27ac	0.013775715	K9me2	0.4700251025	0.0089784025	0.0138885782011356	24.4732252436906	1.07910881602304	Heart	10 months	av	0.4700251025
H3	Heart	18 months	av	K27ac	0.04222887	K9me2	0.50339996	0.038311965	0.00869383355321916	6.38046215317473	2.89190075908127	Heart	18 months	av	0.50339996
H3	Heart	3 months	av	K27ac	0.009316455	K9me2	0.5053470825	0.00502402	0.0160917206050913	50.7988611297868	0.201576451765465	Heart	3 months	av	0.5053470825
H3	Heart	5 months	av	K27ac	0.0067058775	K9me2	0.525527495	0.003189945	0.0155776484457413	86.6334539829378	-0.299767861530632	Heart	5 months	av	0.525527495
H3	Kidney	10 months	av	K27ac	0.021837925	K14ac	0.209490345	3.2635e-05	18.4579064883472	1374.56703863567	-10.141386894168	Kidney	10 months	av	0.209490345
H3	Kidney	18 months	av	K27ac	0.00518121	K14ac	0.24674133	1.6035e-05	2.21566007506955	3816.30111693899	-9.04258729989809	Kidney	18 months	av	0.24674133
H3	Kidney	3 months	av	K27ac	0.0148601	K14ac	0.203157685	0.00012184	2.25582635813672	343.651444020755	-6.65314426133136	Kidney	3 months	av	0.203157685
H3	Kidney	5 months	av	K27ac	0.0229438775	K14ac	0.237709325	0.0001491125	4.60115936597973	387.602314613054	-7.48628815947453	Kidney	5 months	av	0.237709325
H3	Kidney	10 months	av	K27ac	0.021837925	K36me1	0.10616341	0.013513645	0.015049685182436	0.74410779733072	4.49196757187565	Kidney	10 months	av	0.10616341
H3	Kidney	18 months	av	K27ac	0.00518121	K36me1	0.08187477	0.003399025	0.0029588823574053	1.90014700680582	5.18101240872346	Kidney	18 months	av	0.08187477
H3	Kidney	3 months	av	K27ac	0.0148601	K36me1	0.1066837275	0.00997038	0.00815809516089546	1.05044901221023	4.75952686998345	Kidney	3 months	av	0.1066837275
H3	Kidney	5 months	av	K27ac	0.0229438775	K36me1	0.1080331375	0.0141956475	0.0158519641332931	0.730901165755355	4.45793889879303	Kidney	5 months	av	0.1080331375
H3	Kidney	10 months	av	K27ac	0.021837925	K36me2	0.6125088675	0.002097505	0.530399352850633	182.230540986407	-4.57114753396776	Kidney	10 months	av	0.6125088675
H3	Kidney	18 months	av	K27ac	0.00518121	K36me2	0.66199409	0.000884675	0.0744460226897332	497.278542677594	-3.61146937329951	Kidney	18 months	av	0.66199409
H3	Kidney	3 months	av	K27ac	0.0148601	K36me2	0.381215505	0.0014797775	0.217146318433578	99.301929491369	-3.07098112762302	Kidney	3 months	av	0.381215505
H3	Kidney	5 months	av	K27ac	0.0229438775	K36me2	0.48601567	0.0028522	0.314451129812639	84.2645445008394	-3.27703458433873	Kidney	5 months	av	0.48601567
H3	Kidney	10 months	av	K27ac	0.021837925	K9me1	0.221645975	0.0004439925	1.35191436202186	112.891803093365	-5.02795149918724	Kidney	10 months	av	0.221645975
H3	Kidney	18 months	av	K27ac	0.00518121	K9me1	0.244377605	0.000106875	0.325558756997653	561.452121524356	-5.20831418108934	Kidney	18 months	av	0.244377605
H3	Kidney	3 months	av	K27ac	0.0148601	K9me1	0.19939813	0.00047412	0.563191781029475	84.9223691518221	-3.86760246749047	Kidney	3 months	av	0.19939813
H3	Kidney	5 months	av	K27ac	0.0229438775	K9me1	0.19524925	0.000531535	1.2021559463455	73.2054579071592	-4.47738654651469	Kidney	5 months	av	0.19524925
H3	Kidney	10 months	av	K27ac	0.021837925	K9me2	0.1928001275	0.0172411075	0.00721310721843925	2.00703286662293	4.23519801528447	Kidney	10 months	av	0.1928001275
H3	Kidney	18 months	av	K27ac	0.00518121	K9me2	0.17890116	0.00388028	0.0021155662011525	8.11140292082688	4.06516195520509	Kidney	18 months	av	0.17890116
H3	Kidney	3 months	av	K27ac	0.0148601	K9me2	0.2775945475	0.0086879525	0.0146136793887763	8.72161753874009	2.0599925262093	Kidney	3 months	av	0.2775945475
H3	Kidney	5 months	av	K27ac	0.0229438775	K9me2	0.26432303	0.01814491	0.00824845567051324	3.67037236180592	3.49743616970879	Kidney	5 months	av	0.26432303
H3	Liver	10 months	av	K27ac	0.02031598	K14ac	0.21411001	0.000307555	1.68176818076013	151.929057422882	-5.54325941289917	Liver	10 months	av	0.21411001
H3	Liver	3 months	av	K27ac	0.02874217	K14ac	0.240541005	0.0002378425	4.5356189544445	250.221494324849	-7.03430806106018	Liver	3 months	av	0.240541005
H3	Liver	5 months	av	K27ac	0.0201184025	K14ac	0.2715492	8.89125e-05	6.22157495325436	846.093598336336	-8.56865307243592	Liver	5 months	av	0.2715492
H3	Liver	10 months	av	K27ac	0.02031598	K36me1	0.150242745	0.0132065075	0.0128704073261036	1.59131050315519	3.88826671603136	Liver	10 months	av	0.150242745
H3	Liver	18 months	av	K27ac	0.012026135	K36me1	0.15894456	0.009397715	0.003999207547936	2.56008978672012	4.58161671969125	Liver	18 months	av	0.15894456
H3	Liver	3 months	av	K27ac	0.02874217	K36me1	0.1772433275	0.0227500425	0.00920125303604787	1.23926092759716	4.47390042883961	Liver	3 months	av	0.1772433275
H3	Liver	5 months	av	K27ac	0.0201184025	K36me1	0.1744984375	0.0150352775	0.00823938761867237	1.88871686766994	4.16293156342899	Liver	5 months	av	0.1744984375
H3	Liver	10 months	av	K27ac	0.02031598	K36me2	0.4989607825	0.0018785575	0.397962152531038	134.767176270829	-3.98215029699028	Liver	10 months	av	0.4989607825
H3	Liver	18 months	av	K27ac	0.012026135	K36me2	0.498921225	0.001192525	0.218034778363495	210.771416923177	-3.82767351899033	Liver	18 months	av	0.498921225
H3	Liver	3 months	av	K27ac	0.02874217	K36me2	0.2420907825	0.0007753325	1.36791066309491	77.57840751713	-4.66457364713694	Liver	3 months	av	0.2420907825
H3	Liver	5 months	av	K27ac	0.0201184025	K36me2	0.34330648	0.0004120425	1.4651940979132	291.559250960657	-6.05723097117242	Liver	5 months	av	0.34330648
H3	Liver	10 months	av	K27ac	0.02031598	K9me1	0.1897523325	0.00018636	2.70833799134074	197.019303924043	-6.27963687282535	Liver	10 months	av	0.1897523325
H3	Liver	18 months	av	K27ac	0.012026135	K9me1	0.21998118	0.00042037	0.425660206288655	116.295572398043	-3.90202109946065	Liver	18 months	av	0.21998118
H3	Liver	5 months	av	K27ac	0.0201184025	K9me1	0.120934605	0.00011884	3.85150229319372	125.469438351603	-6.18052548801897	Liver	5 months	av	0.120934605
